Name,UUID,Void/Retire,Description,Parent,Attribute|Location Code,Attribute|Name to print on ID card
Baptiste,93ad149f-9644-11eb-b8a1-0242ac110002,,Baptiste,,,
Belladère,d6dafa1a-9a2f-4f61-a33e-410acb64b0e9,,Hôpital Notre-Dame de la Nativité de Belladère,,,
Boucan-Carré,9bc65df6-99a2-4d43-b56b-f42bde3f5d6d,,Centre de Santé Saint-Michel de Boucan-Carré,,,
Cange,328f68e4-0370-102d-b0e3-001ec94a0cc1,,Hôpital Bon Sauveur de Cange,,,
Cerca cavajal,83f215e4-9644-11eb-b8a1-0242ac110002,,Cerca cavajal,,,
Cerca la Source,c741e25d-eb07-4efc-89e4-38ac73948ae1,,Centre de Santé de Cerca la Source,,,
Dufailly,9c7bb4b3-9644-11eb-b8a1-0242ac110002,,Dufailly,,,
Hinche,328f6a60-0370-102d-b0e3-001ec94a0cc1,,Hôpital Sainte-Thérèse de Hinche,,,
Jean Denis,9f960dcd-9644-11eb-b8a1-0242ac110002,,Jean Denis,,,
La Colline,23e7bb0d-51f9-4d5f-b34b-2fbbfeea1960,,Hôpital la Colline de Lascahobas,,,
Maissade,96f36fcb-9644-11eb-b8a1-0242ac110002,,Maissade,,,
Petite Riviere,a7af173a-f623-445a-bf01-e6a64c0b2c98,,Centre Médical Charles Colimon de Petite Riviere,,,
POZ,c488ed05-f259-4f7b-a9d4-8f56736da691,,Promotion Objectif Zerosida,,,
Saint-Marc (HSN),97c241a0-eaec-11e5-a837-0800200c9a66,,Hôpital Saint-Nicolas de Saint-Marc,,,
Saint-Marc (SSPE),209c84cf-4cd7-4908-a946-030499c1ff75,,SSPE de Saint-Marc,,,
Savanette,90d32dc3-9644-11eb-b8a1-0242ac110002,,Savanette,,,
Thomassique,8b23098d-9644-11eb-b8a1-0242ac110002,,Thomassique,,,
Thomonde,376b3e7e-f7c0-4268-a98d-c2bddfee8bcf,,Centre de Santé de Thomonde,,,
Tilory,99fa069e-9644-11eb-b8a1-0242ac110002,,Tilory,,,
Verrettes,6c1c2579-7d16-4d39-bca2-e77141ff435f,,Hôpital Dumarsais Estimé de Verrettes,,,
Mirebalais,a084f714-a536-473b-94e6-ec317b152b43,,Mirebalais (MoH code 62101),,,Mirebalais
